Band Name,Genre,Country,Band Website,BA URL,Description,Video URL,Image
THE CONTORTIONIST,PROGRESSIVE METAL,United States,https://www.facebook.com/thecontortionist/,https://www.brutalassault.cz/en/band/the-contortionist,"THE CONTORTIONIST represents fearlessness in musical expression, designed to please artist as much as audience. This band makes progressive metal music, anchored in the heavy sounds that first drew the individual players to the stage, yet unmoored by con",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-228-1549294522_thumb.jpeg
COUNTING HOURS,DEPRESSIVE DARK ROCK,Finland,https://www.facebook.com/Countinghours2/,https://www.brutalassault.cz/en/band/counting-hours,"						Depressive dark rock from the country that makes the best and most overwhelming and authentic dark and oppressive music.
",www.youtube.com/embed/m2qkVc7QvN0,https://charon.brutalassault.cz/content//images/artist-image/artist-136-1540200446_thumb.jpeg
COVEN,PSYCHEDELIC ROCK,United States,https://www.facebook.com/TheOfficialCoven/,https://www.brutalassault.cz/en/band/coven,When Black Sabbath was still performing blues covers in bars Jinx Dawson was turning heads with her groundbreaking band COVEN. Long before pentagrams and upside down crosses became standard on metal records Dawson shocked labels and critics with her unab,No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-225-1549293062_thumb.jpeg
CRYSTAL LAKE,METALCORE,Japan,http://crystallake.jp,https://www.brutalassault.cz/en/band/crystal-lake,"CRYSTAL LAKE just set an impossible bar to leap over wit their latest output Helix. Production, writing, visuals...this is definitely going to be a standard bearer for all the recent metalcore bands.
",www.youtube.com/embed/yjr9TZjTqIM,https://charon.brutalassault.cz/content//images/artist-image/artist-182-1544301923_thumb.jpeg
CULT OF LUNA,POST METAL,Sweden,https://www.cultofluna.com,https://www.brutalassault.cz/en/band/cult-of-luna,"						Since their beginnings in 1998 CULT OF LUNA has released seven albums, been awarded the top rock/ metal award at the Swedish National Radio Awards and cemented their status as one of the true progressors of the metal genre, beknownst to most metal ",www.youtube.com/embed/5CXiI0AnaCY,https://charon.brutalassault.cz/content//images/artist-image/artist-184-1547810835_thumb.jpeg
CYTOTOXIN,SLAMING BRUTAL DEATH,Germany,http://www.cytotoxin.de,https://www.brutalassault.cz/en/band/cytotoxin,"						During the night of April 26th in 1986 a world-changing accident occurred at the Chernobyl nuclear power plant in Ukraine. Inspired by this catastrophe and its consequences a highly radiated German band called CYTOTOXIN pulverized the Death Metal w",www.youtube.com/embed/JgH9vYpBB8k,https://charon.brutalassault.cz/content//images/artist-image/artist-138-1540989833_thumb.jpeg
DAUGHTERS,NOISE ROCK,United States,https://www.daughtersofficial.com,https://www.brutalassault.cz/en/band/daughters,"						With the new album You Won’t Get What You Want, DAUGHTERS send a crystal clear message. The quartet—Alexis Marshall [vocals], Nick Sadler [guitar], Jon Syverson [drums], and Sam Walker [bass]—once again follow the same internal compass that guided ",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-187-1544305841_thumb.jpeg
DECAPITATED,DEATH METAL,Poland,https://www.decapitatedband.net/,https://www.brutalassault.cz/en/band/decapitated,"Polish death machine DECAPITATED is back with a bang! Their new album Anticult highlights just how vital have remained two decades deep into their career. They have long been undeniable masters of their craft and they are expanding their parameters with ",www.youtube.com/embed/8gILuUdY2cU,https://charon.brutalassault.cz/content//images/artist-image/artist-202-1547044073_thumb.jpeg
DECULTIVATE,MISANTHROPIC HARDCORE,Czech Republic,https://decultivate.bandcamp.com/,https://www.brutalassault.cz/en/band/decultivate,"						Misanthropic hardcore from Prague; furious noisy HC / crust that will decultivate You in the pit!
						
					",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-244-1557139209_thumb.jpeg
DEICIDE,DEATH METAL,United States,https://www.facebook.com/OfficialDeicide/,https://www.brutalassault.cz/en/band/deicide,"						Death metal at its finest finally arrives.. 30 years after the original conception, DEICIDE will finally arrive to kill the christian! Formed in 1989, DEICIDE are responsible for shaping death metal at every level. Throughout the ‘90s the group’s t",www.youtube.com/embed/rxweWH5mhK8,https://charon.brutalassault.cz/content//images/artist-image/artist-162-1542289723_thumb.jpeg
DÉLUGE,POST HARDCORE METAL,France,https://wearedeluge.bandcamp.com/,https://www.brutalassault.cz/en/band/deluge,"						Thunder rolls afar, unremitting rain, awaited gloomy deliverance gets under your skin. Sudden storm of unleashed instruments then quietness, absolute serenity.

At the gates of hell or heaven depending on the listener’s philosophy.

Cleverly mi",www.youtube.com/embed/ULUc0rxFEEQ,https://charon.brutalassault.cz/content//images/artist-image/artist-235-1550575769_thumb.jpeg
DEMOLITION HAMMER,THRASH METAL,United States,https://www.facebook.com/demolitionhammerofficial/,https://www.brutalassault.cz/en/band/demolition-hammer,"If you are looking for the heaviest, fastest, most violent thrash metal besides Slayer’s cult classic “Reign In Blood” pick up DEMOLITION HAMMER’s highly sought-after first two albums Tortured Existence (1990) and Epidemic Of Violence (1992)! Rabid vocal",www.youtube.com/embed/PZhux8pHjkM,https://charon.brutalassault.cz/content//images/artist-image/artist-222-1549289264_thumb.jpeg
DESTRUCTION,THRASH METAL LEGENDS,Germany,http://www.destruction.de,https://www.brutalassault.cz/en/band/destruction,"						In Weil am Rhein in Germany, as early as back in 1983, drummer Tommy, guitarist Mike and bassist / vocalist Schmier founded a band which was going to become a legend and write many chapters in Thrash Metal history: DESTRUCTION! The first MLP entitl",www.youtube.com/embed/_kPfveBd_dY,https://charon.brutalassault.cz/content//images/artist-image/artist-139-1540989064_thumb.jpeg
DIABLO SWING ORCHESTRA,AVANT GARDE METAL,Sweden,http://www.diabloswing.com,https://www.brutalassault.cz/en/band/diablo-swing-orchestra,DIABLO SWING ORCHESTRA present a wild multi-genre carnival ride of swing music mixed with avangarde metal; thus creating refreshingly hilarious take on crossbreeding musical genres that you do not want to gloss over! Their latest output Pacifisticuffs is,No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-24-1542290700_thumb.jpeg
DISCHARGE,D BEAT,United Kingdom,https://www.facebook.com/Dischargeofficial/,https://www.brutalassault.cz/en/band/discharge,"DISCHARGE is a British hardcore punk band formed in 1977, often considered among one of the very first bands to play hardcore punk. While the band had substantial lineup changes over its history, the core members over the early 1980s, when the band produ",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-243-1556782828_thumb.jpeg
DR. LIVING DEAD,CROSSOVER THRASH,Sweden,http://deathfuckingthrash.com,https://www.brutalassault.cz/en/band/dr-living-dead,"Formed two decades after the halcyon days of crossover thrash, DR. LIVING DEAD! are the next-generation answer to lame circle pits and even lamer riffs.
",www.youtube.com/embed/Xs328I1NNqc,https://charon.brutalassault.cz/content//images/artist-image/artist-203-1547044201_thumb.jpeg
EKTOMORF,GROOVE GIPSY METAL,Hungary,https://www.facebook.com/EktomorfOfficial/,https://www.brutalassault.cz/en/band/ektomorf,"						The hungarian groove-monster EKTOMORF was founded already back in ’94, by vocalist/guitarist Zoli Farkas. The band has taken a long road to its way to succeed, but their mix of thrash, hardcore and traditional gipsy music got recognized by many, an",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-140-1540990181_thumb.jpeg
ELECTRIC WIZARD,DOOM STONER METAL,United Kingdom,http://www.electricfuckinwizard.com/,https://www.brutalassault.cz/en/band/electric-wizard,"						Are you ready for some dope-smoking sabbathian heavy doom? Because English horrornauts ELECTRIC WIZARD are gonna bring it no matter what! It's gonna be heavy and hazy and filthy and psychedelic in a way unmatched by any other band on the planet. Al",No Video,https://charon.brutalassault.cz/content//images/artist-image/artist-172-1543226855_thumb.jpeg
